,N°,CODE,LIBELLE,AE,CP
1,1,168,FORMULATION ET COORDINATION DE L' ACTION PRÉSIDENTIELLE réalisations,21459760,21459760
2,,169,PROTECTION PRÉSIDENTIELLE ET INTÉGRITÉ DU TERRITOIRE stabilité,7918493,7918493
3,3,170,FCFA) LIBELLE GOUVERNANCE ET APPUI INSTITUTIONNEL DE LA PRÉSIDENCE DE LA RÉPUBLIQUE ET SES,25954747,25954747
4,6,174,RENFORCEMENT DU CONTRÔLE PARLEMENTAIRE DE L'ACTION,11140000,11140000
5,7,175,GOUVERNEMENTALE GOUVERNANCE ET APPUI INSTITUTIONNEL DES SERVICES DE L'ASSEMBLÉE législatif NATIONALE,18482000,18482000
6,9,011,"la économique des en DIRECTION ET transformation COORDINATION DE structurelle L'ACTION l'économie, GOUVERNEMENTALE développement la et économique, cohérence SND30. Améliorer GOUVERNANCE ET APPUI opérationnelle INSTITUTIONNEL DES services SERVICES INTERNES ET bonne RATTACHES AUX SERVICES des",15747298,16083578
7,11,095,"FCFA} -.----------1 LIBELLE CONSEIL DE L'EXÉCUTIF EN MATIÈRE ÉCONOMIQUE, SOCIALE, CULTURELLE ET ENVIRONNEMENTALE",80000,80000
8,12,096,GOUVERNANCE ET APPUI INSTITUTIONNEL DU CONSEIL ÉC ONOMIQUE ET SOCIAL l,1871000,1871000
9,13,087,RENFORCEMENT DU POTENTIEL DES RELATIONS BILATÉRALES,17972274,17972274
10,14,088,". NEGOCIATION, wDiversifier COORDINATION ET SUIVI DE LA COOPERATION MULTILATERALE, DECENTRALISEE, NON GOUVERNENMENTALE ET",4451122,4451122
11,16,090,"DwES PROGRAMMES SUBSEQUENTS GESTION DE LA DIASPORA, DES MIGRANTS ET DES CRISES NOUVELLES la GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SOUS-SECTEUR DES RELATIONS EXTERIEURES",13012842,13012842
12,17,161,FCFA) LIBELLE Accroître ADMINISTRATION DU représentativité TERRITOIRE l'administration territoire,8046995,8046995
13,19,163,CONTRIBUTION A LA Assurer PROMOTION DES LIBERTES règlementation PUBLIQUES ET SECURITE matière DES PERSONNES ET DES individuelles BIENS collectives Renforcer DEVELOPPEMENT DU face DISPOSITIF NATIONAL DE catastrophes PROTECTION CIVILE effets,4521002,452100
14,20,164,GOUVERNANCE ET APPUI Assurer INSTITUTIONNEL DANS LE optimale DOMAINE DE Programmes L'ADMINISTRATION DU Ministère TERRITOIRE,28516652,28071652
15,21,060,Améliorer AMELIORATION DE l'accès L'ACTIVITE .service JURIDICTIONNELLE Justice,31508434,34428434
16,27,027,FCFA) LIBELLE ADMINISTRATION DU SYSTEME DES MARCHES PUBLICS,2577800,2577800
17,29,029,PROGRAMMATION ET SUIVI programmation DES MARCHES PUBLICS bonne marchés CONTROLE EXTERNE DE Veiller L'EXECUTION DES prestations MARCHES PUBLICS,1865452,1865452
18,30,030,GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE Améliorer SOUS-SECTEUR DES des MARCHES PUBLICS,8289898,8289898
19,31,067,RENFORCEMENT DE LA Promouvoir PREVENTION DES la ATTEINTES A LA FORTUNE dapns PUBLIQUE affaires,949000,949000
20,32,076,". Sanctionner Gestionnaires wet AUDITS, CONTRÔLE ET subis SANCTIONS l'application",1829000,1829000
21,34,062,Accroître DE LA CONSOLIDATION des SÉCURITÉ PUBLIQUE libertés personnes,21215035,21125035
22,36,064,RENFORCEMENT DE LA Accroitre SÉCURITÉ FRONTALIÈRE frontières Mettre REDYNAMISATION DU des SYSTÈME DE renseignements RENSEIGNEMENT prise,6131410,6131410
23,38,001,Renforcer DÉFENSE DE L'INTÉGRITÉ garantissant DU TERRITOIRE NATIONAL territoriale,143025910,143264485
24,39,003,"FCFA) LIBELLE PARTICIPATION A LA SÉCURITÉ DES PERSONNES, DES BIENS ET DE L'ENVIRONNEMENT",81742162,81817462
25,40,004,"ASSISTANCE, RECONVERSION ET REINSERTION DES ANCIENS réinsertion COMBATTANTS ET Combattants VICTIMES DE GUERRE de",41676514,41676514
26,41,005,de (ACVG) Améliorer MlNDEF PARTICIPATION À L'ACTION domaines NATIONALE DE contribuant DÉVELOPPEMENT développement économique,10190709,10190709
27,42,006,économique Cameroun Améliorer GOUVERNANCE ET APPUI des INSTITUTIONNEL OU SOUS- bonne SECTEUR DÉFENSE des,47388830,47388830
28,43,148,CONSERVATION DE LA sauvegarder CULTURE ET DE L'ART patrimoine CAMEROUNAIS artistiaue,1568000,1568000
29,44,149,favoriser DEVELOPPEMENT ET d'un VALORISATION DE LA marchand PRODUCTION DES BIENS ET compétitif . SERVICES CULTURELS revenus,1944400,1944400
30,46,101,Accroitre DÉVELOPPEMENT DU préscolarisation PRÉSCOLAIRE l'étendue national.,21542903,21542903
31,48,103,"inclusif Accroitre de ALPHABÉTISATION alphabétisée CAF,",46388814,638881
32,52,009,FCFA) LIBELLE DEVELOPPEMENT DU SPORT GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SOUS-SECTEUR SPORT ET EDUCATION PHYSIQUE,6839611,6839611
33,53,013,Accroissement de l'accès des populations aux contenus médiatiques,1478000,1478000
34,54,097,institutionnelle Développement d'une l'accès communication multisectorielle aux axée sur la performance bapse sociétale,1635000,1635000
35,55,160,disponibilité informations publics .Améliorer des Gouvernance et appui bonne institutionnel dwans le sous- des secteur de la communication Ministère,2728000,2728000
36,56,116,Accroitre DEVELOPPEMENT DE LA en COMPOSANTE étudiants TECHNOLOGIQUE ET établissements PROFESSIONNELLE DE technologiques,17807587,17807587
37,57,117,professionnels SUPERIEUR l'enseignement Donner et professionnelles ET MODERNISATION étudiants PROFESSIONNALISATION établissements DES ETABLISSEMENTS fa FACULTAIRES CLASSIQUES,9859800,9859800
38,58,118,leur un employer Permettre DEVELOPPEMENT DE LA universitaire RECHERCHE DE ET positivement L'INNOVATION développement UNIVERSITAIRE,22504941,22504941
