PAGE;CODE;LIBELLE;AE;CP
82;168;FORMULATION ET COORDINATION DE L'ACTION PRÉSIDENTIELLE;23690610;23690610
82;169;PROTECTION PRÉSIDENTIELLE ET INTÉG RITÉ DU TERRITOIRE;8118493;8118493
82;170;GOUVERNANCE ET APPUI INSTITUTIONNEL DE LA PRÉSIDENCE DE LA RÉPUBLIQUE ET SES SERVICES RATTACHÉS;28913897;28913897
82;171;FORMULATION ET COORDINATION DE L'ACTION PRÉSIDENTIELLE;1322728;1322728
82;172;PROTECTION PRÉSIDENTIELLE ET INTÉGRITÉ DU TERRITOIRE;10506272;10506272
83;174;RENFORCEMENT DU CONTRÔLE PARLEMENTAIRE DE L'ACTION GOUVERNEMENTALE GOUVERNANCE ET APPUI;6140000;6140000
83;175;GOUVERNANCE ET APPUI INSTITUTIONNEL DES SERVICES DE L'ASSEMBLÉE NATIONALE;18482000;18482000
83;010;DIRECTION ET COORDINATION DE L'ACTION GOUVERNEMENTALE GOUVERNANCE ET APPUI;5128380;5128380
83;011;INSTITUTIONNEL DES SERVICES INTERNES ET RATTACHES AUX SERVICES DU PREMIER MINISTRE;15249689;18243578
83;204;COORDINATION STRATEGIQUE ET POLITIQUE;4017042;4017042
83;095;CONSEIL DE L'EXÉCUTIF EN MATIÈRE ÉCONOMIQUE, SOCIALE, CULTURELLE ET ENVIRONNEMENTALE;80000;80000
83;096;GOUVERNANCE ET APPUI INSTITUTIONNEL DU CONSEIL ÉCONOMIQUE ET SOCIAL;1311000;2111000
84;087;RENFORCEMENT DU POTENTIEL DES RELATIONS BILATÉRALES NEGOCIATION, COORDINATION ET SUIVI DE;23884074;23884074
84;088;LA COOPERATION MULTILATÉRALE, DÉCENTRALISÉE, NON GOUVERNEMENTALE ET DES PROGRAMMES SUBSEQUENTS;4470284;4470284
84;089;GESTION DE LA DIASPORA, DES MIGRANTS ET DES CRISES NOUVELLES GOUVERNANCE ET APPUI;6146882;6146882
84;090;GOUVERNANCE ET APPUI INSTITUTIONNEL DANS LE SOUS-SECTEUR DES RELATIONS EXTERIEURES MINISTERE DE;13637759;13637759
